ID,Name,Category,User_Rating,Number_Reviews,Price,Lat,Long
1,Slyman's,American,4.5,483,2,41.03286,-81.39326
2,L'Albatros,French,4.5,729,3,41.511688,-81.606483
3,Lucky's Cafe,Cafe,4,953,2,41.47715,-81.68301
4,Townhall,American,4,1452,2,41.4854142,-81.7038512
5,Soho Chicken & Whisky,Southern,4.5,509,2,41.4856596,-81.7042764
6,Great Lakes Brewing Company,American,4,1023,2,41.4844281,-81.7043304
7,Mia Bella Restaurant,Italian,4.5,689,2,41.5085032,-81.5977698
8,Momocho,Mexican,4,795,2,41.4840262,-81.7097857
9,Mabel's BBQ,BBQ,4,1026,2,41.4992204,-81.6904763
10,Happy Dog,American,4,656,1,41.4848922,-81.7265223
11,Mason's Creamery,Ice Cream,4.5,296,1,41.4804168,-81.716811
12,Superior Pho,Vietnamese,4,652,1,41.5105404,-81.6697457
13,Butcher and the Brewer,American,4,723,2,41.4990781,-81.6899657
14,Edwins ,French,4.5,222,3,41.4844204,-81.5914843
15,LJ Shanghai,Chinese,4.5,339,1,41.5108377,-81.6689455
16,Taza A Lebanese,Mediterranean,4.5,376,2,41.498762,-81.6982021
17,Noble Beast Brewing,American,4.5,279,2,41.507795,-81.686402
18,La Plaza,Mexican,4.5,308,1,41.4701818,-81.7863308
19,Tremont Taphouse,American,4,468,2,41.4771828,-81.6952816
20,Boaz Cafe,Mediterranean,4.5,233,1,41.4836577,-81.7040835
21,Bourbon Street Barrel Room,Cajun,4,511,2,41.4799927,-81.6846528
22,Ginko,Japanese,4.5,313,3,41.4816027,-81.6863423
23,Herb 'n Twine,American,4.5,200,2,41.4791715,-81.7158707
24,Rowley Inn,American,4.5,213,2,41.4690127,-81.6879794
25,Barrio,Mexican,4,589,2,41.4986104,-81.6893695
26,Blue Point Grille,Seafood,4,387,3,41.4996684,-81.6992202
27,Flying Fig,American,4,491,2,41.4841902,-81.7042663
28,Astoria Cafe & Market,Mediterranean,4.5,229,2,41.4852614,-81.7245017
29,II Rione,Italian,4.5,183,2,41.4867044,-81.7299385
30,Luna Bakery Cafe,Cafe,4,363,1,41.5004857,-81.5920344
31,Le Petit Triangle Cafe,French,4,428,2,41.4832193,-81.7101633
32,Wonton Gourment,Chinese,4,298,2,41.5088963,-81.6662785
33,Pho Thang Cafe,Vietnamese,4,309,2,41.502424,-81.6893213
34,Sabor Miami Cafe,Cafe,5,109,1,41.502424,-81.6893213
35,Masthead Brewing,American,4.5,275,2,41.5041692,-81.6854561
36,Luca Italian Cuisine,Italian,4.5,276,3,41.4942645,-81.7049646
37,Map of Thailand,Thai,4.5,354,2,41.509369,-81.6622584
38,Fat Cats,American,4,287,2,41.4838218,-81.6874673
39,Presti's Bakery,Cafe,4,418,1,41.5088302,-81.5983181
40,Fahrenheit,American,4,323,3,41.4797421,-81.6845889
41,Avo Modern Mexican,Mexican,5,21,2,41.4832902,-81.7030742
42,Prosperity Social Club,American,4,235,2,41.4772011,-81.6898588
43,The South Side,American,3.5,380,2,41.4820255,-81.6890446
44,Parallax,Japanese,4,263,3,41.4823995,-81.6890294
45,Crust,Italian,4.5,243,2,41.5122996,-81.6719509
46,Bar Oni Izakaya,Japanese,4,16,2,41.4824319,-81.6871239
47,Proof Bar-BQ,BBQ,4,8,2,41.4811515,-81.6867155
48,The Treehouse,American,3.5,140,2,41.4807348,-81.6855454
49,Sauce the City,Southern,4,47,2,41.4911458,-81.7074984
50,Dante,Italian,4,345,3,41.4816027,-81.6863423
51,Lava Lounge,American,4,83,2,41.475878,-81.6908105
52,Half Moon Bakery,Cafe,5,25,1,41.4601642,-81.7009068
53,The Black Pig,American,4,191,2,41.4847967,-81.7066587
54,Urban Farmer,American,3.5,583,2,41.5032958,-81.6917253
55,Toast,American,4,156,2,41.4850065,-81.7300905
56,Corner 11 Bowl & Wrap,Japanese,4.5,131,2,41.4794913,-81.6890094
57,Adega,Italian,4,223,3,41.4997728,-81.6858139
58,Grumpy's Cafe,Cafe,4,464,2,41.4765094,-81.6909673
59,Lindsey's Lake House,American,3.5,116,2,41.4991919,-81.7049875
60,Irie Jamaican Kitchen,Caribbean,4.5,25,2,41.590781,-81.5497293
61,Citizen Pie,Italian,4,92,2,41.5709667,-81.5704359
62,Vincenza's Pizza & Pasta,Italian,4.5,119,1,41.4986562,-81.688782
63,Rising Grill Korean BBQ,Korean,4,116,2,41.5099425,-81.6625761
64,Ty Fun Thai Bistro,Thai,4,176,2,41.4795272,-81.6841825
65,Xinji Noodle Bar,Japanese,4,191,2,41.4794544,-81.7150797
66,Edison's Pizza Kitchen,Italian,4,225,2,41.4802676,-81.685031
67,UJerk Caribbean Eatery,Caribbean,4.5,22,1,41.499979,-81.6868976
68,Heck's Cafe,American,4,317,2,41.4573318,-82.0103288
69,49 Street Tavern,American,4.5,22,2,41.4461225,-81.6563546
70,Szechuan Gourmet,Szechuan,4.5,231,2,41.5083932,-81.6632959
71,Blue Habanero,Mexican,4,173,2,41.48433,-81.729934
72,Tandul,Indian,4,204,2,41.4779163,-81.6826252
73,Lago East Bank,Italian,4,262,2,41.5008432,-81.7042725
74,The Red Chimney,American,4,47,1,41.4563992,-81.6447938
75,Alea,Mediterranean,4.5,16,3,41.4893804,-81.7109825
76,E55 On the Lake,American,4,24,2,41.5337914,-81.6483849
77,Cleveland Chop,American,4,333,2,41.4995084,-81.699365
78,Larder Delicatessen,Cafe,4.5,97,2,41.4892141,-81.7102714
79,Barroco,Mexican,4.5,687,2,41.4772227,-81.7783506
80,Sichuan Hot Pot Cuisine,Szechuan,4.5,34,1,41.5086037,-81.6780911
81,Betts,American,4,31,2,41.4997983,-81.6867523
82,Red The Steakhouse,American,4,263,3,41.4984526,-81.6897393
83,Korea House,Korean,2,156,2,41.5123321,-81.6648582
84,Ohio City BBQ,BBQ,4,134,2,41.4804908,-81.7125295
85,Boney Fingers BBQ,BBQ,5,95,2,41.5008818,-81.6784287
86,Otani Noodle,Japanese,4.5,180,2,41.5100138,-81.6035317
87,Hanabi Japanese,Japanese,4,124,2,41.5000026,-81.6986406
88,Batuqui,Brazilian,4.5,168,3,41.4873415,-81.5941747
89,The Oak Barrel,American,4,476,2,41.3998073,-81.6257472
90,Leavened,Cafe,4.5,21,1,41.4756069,-81.6951484
91,La Bodega,American,4,85,2,41.4786623,-81.6856349
92,El Sabor de Ponce,Latin American,5,5,2,41.3998073,-81.6257472
93,LockKeepers,American,4.5,218,2,41.3940268,-81.6287034
94,Luxe Kitchen & Lounge,Italian,4,362,2,41.4837067,-81.7310463
95,Hola,Mexican,4,61,1,41.6435768,-81.4062668
96,Doc and Lennies,Southern,4.5,28,1,41.4998386,-81.6232874
97,Tabletop Board Game Cafe,Cafe,4.5,120,2,41.4863245,-81.7055027
98,Dirty Bird Cleveland,American,4,6,2,41.4668945,-81.5371048
99,Beerhead Bar & Eatery,American,3.5,244,2,41.4847426,-81.6895798
100,Shake Shack,American,4,58,2,41.5001316,-81.6890755
